Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Au+","Au_Electrode",118.600000,-94.000000,90.000000,bottom
"J3","Ti+","PinHeader_1x01_P2.54mm_Vertical",146.250000,-93.750000,0.000000,bottom
"J4","Au-","Au_Electrode",130.900000,-94.000000,-90.000000,bottom
"J6","Ti-1","PinHeader_1x01_P2.54mm_Vertical",135.000000,-93.750000,0.000000,bottom
"J7","Ti-2","PinHeader_1x01_P2.54mm_Vertical",138.750000,-93.750000,0.000000,bottom
"J8","Debug","PinSocket_1x04_P2.54mm_Vertical",140.500000,-52.750000,90.000000,bottom
"J9","RS485","PinSocket_1x04_P2.54mm_Vertical",128.550000,-52.725000,90.000000,bottom
"J11","Ti-2","PinHeader_1x01_P2.54mm_Vertical",142.500000,-93.750000,0.000000,bottom
